Q,status,main_mechanism
87,CLOSED,"(13,2) allocations: orthogonal-class/code-bound or 12+1 defect; (14,1)x(14,1) isolated-orbit obstruction; earlier exact Gram-orbit intertwining audit also UNSAT."
90,CLOSED,size-13 12+1 defect / affine-ADE; all-same unique C5^- + 5K2^+ orbit excluded by eigenspace block/Cauchy contradiction; earlier orbit-pair intertwining audit UNSAT.
96,CLOSED,"size-13 e=9 defect; e=18 P3/2K2 impossible; remaining (14,1)x(14,1) supports contain isolates and are excluded."
99,CLOSED,size-13 e=9/e=18 eliminated; all-same final A/B cospectral orbits excluded by exact local 15-eigenspace Gram mismatch.
105,CLOSED,"size-13 e=9/e=18 structural impossibility and e=27 exact bound; unique no-isolate 7K2 size-14 branch reaches exactly D0, hence no strict counterexample."
108,CLOSED,"all-same exact repository theorem; size-13 e=9 defect, e=18 exact two-hub Schur, e=27 inverse-loss bound."
114,CLOSED,exact size-13 residual/inverse-loss bounds plus size-14 componentwise Schur bounds.
117,CLOSED,all-same exact support theorem plus size-13 exact inverse-loss/Schur bounds.
123,CLOSED,exact size-13 hub losses plus size-14 componentwise bounds.
126,CLOSED,complete all-same closure via cubic log majorant + exact weighted Fourier; all size-13 allocations below record; K4/no-K5 bottleneck closed by exact component/forest refinements.
132,CLOSED,exact size-13 refinements plus size-14 no-isolate component enumeration.
135,CLOSED,cubic log majorant + high-moment triangle-core enumeration + exact integer Eisenstein Fourier; weighted Motzkin–Straus refinement closes last coarse cap.
141,CLOSED,exact size-13 residual and size-14 no-isolate support bounds; replayed certificate; tight e=36 supports resolved componentwise.
144,CLOSED,exact all-same K6 boundary/arithmetic plus size-13 exact Schur/state pairing; failed generic e=54 estimate replaced by exact internal enumeration.
150,CLOSED,"size-13 exact state pairing plus size-14 componentwise closure, including e=108 K2+T12 boundary."
