Q,status,proof_basis,evidence_files,remaining_obligation
0,INHERITED_VERIFIED,Unchanged 2026-09-17 independent audit; published code theorem dependency retained.,order15_mu3_unified_audit/results/all_Q_audit.json,
6,INHERITED_VERIFIED,Unchanged 2026-09-17 independent audit; published code theorem dependency retained.,order15_mu3_unified_audit/results/all_Q_audit.json,
9,INHERITED_VERIFIED,Unchanged 2026-09-17 independent audit; published code theorem dependency retained.,order15_mu3_unified_audit/results/all_Q_audit.json,
15,INHERITED_VERIFIED,Unchanged 2026-09-17 independent audit; published code theorem dependency retained.,order15_mu3_unified_audit/results/all_Q_audit.json,
18,INHERITED_VERIFIED,Unchanged 2026-09-17 independent audit; published code theorem dependency retained.,order15_mu3_unified_audit/results/all_Q_audit.json,
24,INHERITED_VERIFIED,Unchanged 2026-09-17 independent audit; published code theorem dependency retained.,order15_mu3_unified_audit/results/all_Q_audit.json,
27,INHERITED_VERIFIED,Unchanged 2026-09-17 independent audit; published code theorem dependency retained.,order15_mu3_unified_audit/results/all_Q_audit.json,
33,INHERITED_VERIFIED,Unchanged 2026-09-17 independent audit; published code theorem dependency retained.,order15_mu3_unified_audit/results/all_Q_audit.json,
36,INHERITED_VERIFIED,Unchanged 2026-09-17 independent audit; published code theorem dependency retained.,order15_mu3_unified_audit/results/all_Q_audit.json,
42,INHERITED_VERIFIED,Unchanged 2026-09-17 independent audit; published code theorem dependency retained.,order15_mu3_unified_audit/results/all_Q_audit.json,
45,INHERITED_VERIFIED,Unchanged 2026-09-17 independent audit; published code theorem dependency retained.,order15_mu3_unified_audit/results/all_Q_audit.json,
51,INHERITED_VERIFIED,Unchanged 2026-09-17 independent audit; published code theorem dependency retained.,order15_mu3_unified_audit/results/all_Q_audit.json,
54,INHERITED_VERIFIED,Unchanged 2026-09-17 independent audit; published code theorem dependency retained.,order15_mu3_unified_audit/results/all_Q_audit.json,
60,INHERITED_VERIFIED,Unchanged 2026-09-17 independent audit; published code theorem dependency retained.,order15_mu3_unified_audit/results/all_Q_audit.json,
63,INHERITED_VERIFIED,Unchanged 2026-09-17 independent audit; published code theorem dependency retained.,order15_mu3_unified_audit/results/all_Q_audit.json,
69,INHERITED_VERIFIED,Unchanged 2026-09-17 independent audit; published code theorem dependency retained.,order15_mu3_unified_audit/results/all_Q_audit.json,
72,INHERITED_VERIFIED,Unchanged 2026-09-17 independent audit; published code theorem dependency retained.,order15_mu3_unified_audit/results/all_Q_audit.json,
78,INHERITED_VERIFIED,Unchanged 2026-09-17 independent audit; published code theorem dependency retained.,order15_mu3_unified_audit/results/all_Q_audit.json,
81,INHERITED_VERIFIED,Unchanged 2026-09-17 independent audit; published code theorem dependency retained.,order15_mu3_unified_audit/results/all_Q_audit.json,
87,NEWLY_CLOSED,"One-edge defect lemma, published B3 bound, and exhaustive double-(14,1) projection/rank pairing.",new/sparse_defect.json;new/mixed_rank_frontier.json,
90,NEWLY_CLOSED,One-edge defect lemma and exact pure-Gram catalogue with spectral rectangle obstruction.,new/sparse_defect.json;new/pure_catalogue.json;new/pure90_frontier.json;new/q90_final.json,
96,UNRESOLVED_GLOBAL,,,"Size13 energy18 (P3 or 2K2), and any surviving mixed-color pairings; double14 partial certificates are not a full shell proof."
99,UNRESOLVED_GLOBAL,,,"Size13 energy18, plus complete all-same support reduction; the old A/B local certificate does not by itself prove exhaustive coverage."
105,UNRESOLVED_GLOBAL,,,Size13 energy18 and color-pair coverage; equality at B and the complete double14 branch do not settle the remaining colors.
108,NEWLY_CLOSED,Complete extended pure-Gram catalogue and minimum-cross two-hub energy18 enumeration.,new/pure_extended.json;new/pure108_frontier.json;new/size13_energy18.json;new/q108_final.json,
114,NEWLY_CLOSED,"Exhaustive core/cross-vector enumeration, norm sieve, and 12-eigenspace flatness contradiction.",new/q114_refinement.json;new/q114_cross_exact.json;new/q114_final.json,
117,NEWLY_CLOSED,Projection reduction and exact integer real-rooted polynomial sieve.,new/projection_frontier.json;new/q117_integer_sieve.json,
123,NEWLY_CLOSED,"Complete component/Schur bound, including all internal isolates.",new/exploration.json;new/small_catalogue.json,
126,NEWLY_CLOSED,Rank-four determinant lattice and exact Eisenstein norm sieve.,new/projection_frontier.json;new/q126_final.json,
132,NEWLY_CLOSED,"Complete component/Schur bound, including all internal isolates.",new/exploration.json;new/small_catalogue.json,
135,NEWLY_CLOSED,Complete mixed-color bound and two-sided projection/rank/moment bound.,new/exploration.json;new/projection_frontier.json,
141,NEWLY_CLOSED,"Complete component/Schur bound, including all internal isolates.",new/exploration.json;new/small_catalogue.json,
144,NEWLY_CLOSED,Complete mixed-color bound and two-sided projection/rank/moment bound.,new/exploration.json;new/projection_frontier.json,
150,NEWLY_CLOSED,"Complete component/Schur bound, including all internal isolates.",new/exploration.json;new/small_catalogue.json,
153,NEWLY_CLOSED,Complete mixed-color bound and two-sided projection/rank/moment bound.,new/exploration.json;new/projection_frontier.json,
159,NEWLY_CLOSED,"Complete component/Schur bound, including all internal isolates.",new/exploration.json;new/small_catalogue.json,
162,NEWLY_CLOSED,Complete mixed-color bound and two-sided projection/rank/moment bound.,new/exploration.json;new/projection_frontier.json,
168,NEWLY_CLOSED,"Complete component/Schur bound, including all internal isolates.",new/exploration.json;new/small_catalogue.json,
